;Echte_Erzeugung_MWh;Quantil_0_1_MWh;Median_q0_5_MWh;Quantil_0_9_MWh
53;1858.7601;1813.251;1888.3661;1979.0875
54;1441.09;1398.5615;1468.9768;1549.1918
55;1059.41;991.1825;1056.5006;1131.1766
56;723.48;662.4621;721.981;792.43256
57;440.83;381.58286;439.46033;504.52435
58;218.76;159.29597;215.1466;274.4661
59;77.479996;-7.481993;48.055603;105.140915
60;18.259998;-84.48552;-32.845562;21.192335
61;3.78;-73.12953;-20.399628;31.772804
62;2.07;-24.477129;25.71856;73.06957
63;0.05;-7.8520384;38.654335;81.00113
64;0.05;-16.914755;19.917686;56.78701
65;0.04;-46.373127;-12.3197975;23.056404
66;0.04;-47.375854;-17.700478;20.459488
67;0.01;-53.985775;-22.445066;18.469257
68;0.01;-48.957615;-20.28467;20.067652
69;0.01;-41.550945;-10.041878;28.703463
70;0.01;-34.17379;-4.816777;31.466112
71;0.01;-33.16388;-3.370014;32.359734
72;0.01;-32.048412;-6.2569757;27.915543
73;0.01;-33.03157;-4.348113;29.931194
74;0.01;-29.240747;-3.3334389;30.725357
75;0.01;-28.46127;-2.0203896;32.663464
76;0.01;-29.533447;-5.497513;28.868568
77;0.0;-32.132446;-4.5305195;30.55635
78;0.0;-19.759787;4.8802037;41.11487
79;0.0;-20.039997;5.868446;41.778797
80;0.0;-23.782204;-0.09010495;36.213516
81;0.0;-23.680155;3.4289982;41.730946
82;0.0;-16.381529;8.203623;48.005394
83;0.0;-18.567593;6.807699;46.001713
84;0.0;-20.613155;2.9366663;43.85632
85;0.0;-22.060486;5.726415;49.408226
86;0.0;-17.19936;8.468335;54.0368
87;0.0;-26.526592;0.24496898;44.552727
88;0.0;-29.613161;-3.1594977;44.39414
89;0.0;-23.454237;7.58392;59.34591
90;0.0;-22.84031;7.7883406;60.83934
91;0.0;-19.984024;11.083625;63.05334
92;0.0;-24.018017;7.832393;62.06527
93;0.0;-31.992983;4.0371017;62.220207
94;0.0;-22.592972;12.641544;75.482346
95;0.0;-26.444088;11.277359;72.9254
96;0.0;-31.678097;8.81338;73.303635
97;0.0;-21.612059;22.040445;90.6491
98;0.0;-13.410114;30.853851;102.30136
99;0.0;-9.829115;35.357937;105.81691
100;0.24000001;-10.521623;36.70011;110.2266
101;5.61;-19.833307;30.184393;106.876755
102;47.170002;-8.519916;41.931675;123.20806
103;220.74;48.880665;102.19686;185.83615
104;536.96;284.8213;350.35028;448.10745
105;921.37006;763.54114;844.46625;957.89
106;1394.35;1271.2367;1365.1647;1476.1747
107;1935.2301;1794.1267;1892.0073;1995.6031
108;2553.1702;2388.6133;2492.274;2603.682
109;3230.51;3054.1946;3163.893;3288.5354
110;3975.54;3761.8596;3882.847;4018.6511
111;4748.31;4550.09;4681.466;4828.1455
112;5581.43;5349.573;5498.4155;5655.7007
113;6457.23;6189.744;6351.096;6520.666
114;7351.68;7052.002;7231.1694;7413.573
115;8176.0;7927.444;8121.6143;8315.812
116;8755.32;8695.263;8905.16;9107.435
117;9444.21;9140.686;9349.908;9545.522
118;9815.51;9664.892;9882.72;10099.356
119;10271.95;10091.34;10320.133;10549.245
120;10669.471;10312.241;10550.494;10775.848
121;11027.99;10758.191;11004.003;11253.21
122;11297.26;11012.336;11274.233;11520.6875
123;11281.55;11197.663;11458.69;11704.78
124;11619.59;11113.037;11371.184;11602.307
125;11806.47;11353.699;11616.474;11871.005
126;11959.93;11732.245;12019.275;12293.295
127;11935.38;11669.753;11953.205;12197.251
128;11787.0;11575.174;11847.337;12084.343
129;11725.221;11416.499;11682.697;11915.994
130;11618.381;11342.324;11614.83;11856.811
131;11449.66;11289.744;11567.724;11812.217
132;11316.68;11005.858;11279.283;11502.741
133;11078.95;10827.845;11090.995;11313.738
134;10811.761;10632.848;10899.801;11120.55
135;10463.97;10292.808;10550.312;10758.147
136;10099.55;9935.244;10182.023;10382.203
137;9663.66;9512.595;9746.761;9937.983
138;9362.42;9071.278;9295.836;9481.962
139;8864.109;8745.326;8963.857;9153.997
140;8309.03;8262.313;8470.746;8645.553
141;7706.45;7530.875;7709.7754;7858.5605
142;7102.27;6910.552;7071.197;7224.1064
143;6292.54;6290.8467;6441.873;6597.79
144;5735.7397;5428.476;5556.8433;5691.602
145;4945.13;4772.6426;4885.8135;5020.859
146;4237.32;4167.0337;4277.9624;4412.0044
147;3526.55;3309.1208;3408.1067;3513.5935
148;2815.25;2700.6265;2785.424;2892.8152
149;2127.23;2045.0287;2126.0447;2221.0383
150;1526.2799;1395.9574;1469.9904;1551.3629
151;1041.47;902.38776;975.2573;1056.016
152;646.3;543.89026;615.8613;691.8518
153;350.95;287.0575;359.2844;425.38782
154;153.03;107.04453;173.81305;229.72656
155;40.91;-22.713457;40.380173;90.96722
156;8.12;-71.960266;-15.874094;31.101004
157;3.6399999;-53.816227;-1.3545358;44.657516
158;2.0600002;-15.824809;32.36436;74.9163
159;0.05;-22.376432;22.367573;61.86749
160;0.05;-39.051796;-3.410143;33.45464
161;0.05;-49.89776;-15.190323;22.991188
162;0.04;-59.06013;-25.49595;12.587015
163;0.0;-50.06077;-16.161709;24.83418
164;0.0;-40.519688;-8.829175;30.155062
165;0.0;-32.84899;1.629515;38.537487
166;0.0;-40.1604;-8.442891;25.338383
167;0.0;-39.92844;-8.235929;26.594152
168;0.0;-26.507242;1.2406645;35.720173
169;0.0;-17.459433;13.303622;46.58158
170;0.0;-11.714878;15.346495;46.914856
171;0.0;-15.063495;10.974517;42.366047
172;0.0;-28.848343;-6.6183333;24.094067
173;0.0;-39.85968;-14.659071;17.64306
174;0.0;-31.966404;-9.949428;24.669125
175;0.0;-21.130758;2.1545475;37.105064
176;0.0;-28.254456;-6.220351;26.81849
177;0.0;-27.760914;-3.1354105;31.264431
178;0.0;-25.0474;-3.4575276;32.208252
179;0.0;-30.995907;-8.649063;27.48138
180;0.0;-41.70993;-20.498741;16.9412
181;0.0;-50.281574;-24.748951;15.420225
182;0.0;-38.15376;-14.094552;29.537334
183;0.0;-34.969654;-9.180809;33.649708
184;0.0;-32.29311;-6.6918783;37.979137
185;0.0;-30.249302;-0.7310569;46.39708
186;0.0;-25.682947;2.1959844;51.86542
187;0.0;-27.236227;1.4134458;50.854202
188;0.0;-34.857956;-5.4685388;46.689655
189;0.0;-39.465527;-6.033947;50.08188
190;0.0;-29.72585;3.2997267;63.370224
191;0.0;-32.329193;2.30144;61.191566
192;0.0;-38.055557;-1.1846173;60.626873
193;0.0;-33.922306;6.092857;72.20996
194;0.0;-23.535728;17.03956;86.60309
195;0.0;-16.78647;25.120747;93.50571
196;0.29999998;-25.689018;19.060715;89.594864
197;3.8400002;-27.913187;18.97241;93.66365
198;8.860001;-15.244939;32.36678;111.54249
199;47.219997;-4.768282;44.66528;122.93787
200;159.66;41.211403;95.74045;179.05043
201;319.48;206.87772;267.57944;360.91028
202;509.24002;441.10004;509.80774;608.8497
203;731.66003;672.2368;744.4441;838.80273
204;961.99;907.54614;983.3576;1078.8901
205;1228.9401;1153.5891;1229.4569;1330.2772
206;1503.63;1413.9315;1493.2289;1600.7825
207;1805.2101;1713.9526;1796.6053;1909.6816
208;2084.74;2021.3771;2112.8484;2231.5742
209;2357.28;2317.7375;2411.2578;2533.696
210;2649.69;2553.7632;2650.6782;2773.752
211;2947.85;2835.6023;2934.8623;3064.007
212;3253.5999;3148.8347;3258.6248;3396.3684
213;3555.56;3458.8965;3572.8997;3713.972
214;3833.69;3753.9507;3874.7363;4017.517
215;4095.9998;4015.201;4138.3643;4280.763
216;4313.7197;4242.814;4371.199;4516.106
217;4521.08;4431.778;4558.408;4705.9316
218;4697.42;4586.351;4717.1533;4867.9863
219;4851.88;4745.3154;4878.483;5033.4917
220;5028.0;4868.9116;5008.084;5163.9116
221;5181.5;5029.163;5168.574;5327.538
222;5278.14;5181.9194;5328.877;5489.099
223;5367.52;5236.276;5382.2563;5536.3335
224;5449.16;5276.4297;5422.1675;5575.513
225;5482.0;5356.8213;5499.946;5657.9688
226;5519.54;5356.215;5503.6377;5658.329
227;5532.3003;5355.3027;5500.219;5654.8354
228;5461.6597;5369.5615;5516.539;5671.964
229;5295.04;5257.7217;5397.3193;5543.583
230;5108.81;4998.0845;5130.016;5266.0244
231;4848.0303;4743.692;4866.062;5005.707
232;4557.87;4468.1357;4587.1323;4728.215
233;4287.71;4124.973;4234.7256;4368.7495
234;4016.3098;3845.6704;3954.9885;4088.3484
235;3779.1;3607.837;3717.2437;3850.2866
236;3537.36;3395.8303;3503.8152;3629.7507
237;3273.19;3185.037;3286.5527;3403.0154
238;2994.23;2914.343;3010.6628;3116.3967
239;2715.9102;2614.9624;2702.956;2804.6091
240;2415.48;2331.2666;2412.4395;2511.9138
241;2129.5;2034.0923;2108.4634;2203.4004
242;1844.32;1745.327;1818.199;1908.7799
243;1583.28;1486.8477;1558.758;1649.5374
244;1321.27;1256.3545;1325.1958;1410.2424
245;1071.12;1023.3579;1089.0997;1165.6704
246;837.97003;798.6754;860.43225;929.7183
247;627.16;582.063;641.4711;707.4307
248;438.85;408.49484;461.70593;524.0506
249;277.63;232.06114;283.1196;338.76718
250;148.52;86.26975;134.41672;186.8572
251;62.74;-10.388403;37.900967;92.9266
252;19.68;-63.16631;-16.916458;34.854218
253;4.42;-60.965515;-13.831862;34.979958
254;2.3300002;-29.111082;15.423693;59.663063
255;0.2;-12.4091625;30.185257;72.20002
256;0.17999999;-18.758661;16.263437;53.38958
257;0.17;-45.220345;-12.389789;22.490515
258;0.16;-51.512245;-21.8803;14.584847
259;0.04;-52.407814;-21.296333;18.3293
260;0.04;-44.82145;-16.391525;21.832582
261;0.04;-42.195576;-10.800723;25.287544
262;0.04;-30.262875;-1.6838595;33.111595
263;0.030000001;-26.908136;2.1948738;37.019524
264;0.030000001;-27.144173;-1.7223102;31.215097
265;0.030000001;-30.17156;-2.6262224;29.531189
266;0.030000001;-20.680012;3.4130552;35.93681
267;0.030000001;-20.98236;3.7775717;36.915844
268;0.030000001;-26.590956;-4.8882985;27.744835
269;0.030000001;-33.261536;-8.203475;25.21975
270;0.030000001;-28.068321;-5.5606184;29.023111
271;0.030000001;-23.825935;-0.2651815;34.866802
272;0.02;-25.896276;-4.0147667;31.166206
273;0.02;-27.282871;-1.6753203;35.01895
274;0.0;-21.448977;1.5473323;39.661
275;0.0;-17.874739;5.738558;44.129745
276;0.0;-25.010183;-2.3962586;36.617916
277;0.0;-31.657614;-5.353705;36.285778
278;0.0;-22.873602;1.4358302;46.37884
279;0.0;-28.91103;-2.6461883;41.764683
280;0.0;-31.218021;-4.931019;42.18374
281;0.0;-35.703327;-4.4967823;45.368683
282;0.0;-23.934204;6.0603294;59.50045
283;0.0;-19.491026;12.092154;64.577965
284;0.0;-24.505882;7.9559145;62.60459
285;0.0;-27.48317;8.7682905;67.25772
286;0.0;-23.065413;12.517036;74.81395
287;0.0;-23.857748;13.570383;75.563736
288;0.0;-25.693855;14.045884;79.40842
289;0.0;-27.815159;15.9986515;85.02355
290;0.0;-19.592533;24.60914;97.68933
291;0.0;-17.590776;28.476423;100.53325
292;0.14;-17.695097;31.349218;106.66502
293;3.78;-15.529888;36.435448;115.58068
294;12.4;-4.985955;48.131718;131.0568
295;55.74;15.685715;70.19489;153.01196
296;140.42;67.03631;127.27331;214.72739
297;258.52;200.91188;265.58423;361.0592
298;401.92;356.389;426.63202;524.88025
299;558.92;524.2051;596.5874;693.00635
300;726.72003;690.3152;767.1361;866.2573
301;906.38;850.62054;928.67883;1032.2388
302;1093.72;1041.73;1122.5846;1233.8436
303;1300.58;1235.3588;1320.353;1433.1448
304;1515.5599;1449.8081;1542.361;1660.6415
305;1735.05;1695.457;1790.0247;1914.0109
306;1964.3701;1920.7025;2020.4194;2147.0354
307;2178.5898;2149.1025;2251.131;2378.4055
308;2411.02;2352.6084;2459.5974;2589.27
309;2676.48;2571.4578;2678.1106;2813.2256
310;2938.5698;2851.1963;2965.3528;3109.7034
311;3232.27;3130.0996;3249.9988;3395.9404
312;3494.68;3414.336;3542.2356;3689.665
313;3750.25;3684.1626;3812.0012;3960.9143
314;3982.0898;3888.9243;4020.6006;4169.567
315;4193.82;4102.1216;4234.1255;4387.763
316;4379.94;4285.935;4423.7485;4580.261
317;4544.33;4458.463;4593.957;4752.1475
318;4678.62;4581.339;4722.163;4879.3447
319;4738.6597;4684.1953;4824.0894;4982.7236
320;4778.1;4696.116;4836.706;4992.445
321;4786.81;4665.626;4799.8164;4954.9287
322;4724.73;4646.4585;4783.913;4942.58
323;4626.77;4545.3228;4681.509;4836.5435
324;4509.17;4397.026;4530.212;4680.5215
325;4357.63;4267.7915;4393.812;4543.774
326;4174.5903;4094.6272;4222.015;4368.546
327;3941.2;3878.49;4000.7559;4143.153
328;3715.17;3615.91;3732.3682;3868.4443
329;3478.41;3360.7224;3468.8694;3602.1577
